Fecha,Año,Mes,Partido,Categoria,Subcategoria,Monto,Cantidad,Fuente,Competencia
2022-01-11,2022,Enero,Celaya,Gastos,Meseros,1200.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Staff Partido,6000.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Ambulancia,4800.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Snack Vendedor,3000.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Servicio de Palcos,1000.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Pintura Campo,1078.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Hielo,1152.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Staff de Limpieza,1500.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Taquiilleras,1200.00,,General,Liga
2022-01-11,2022,Enero,Celaya,Gastos,Marcador,750.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Meseros,1200.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Staff Apoyo Semana Taq,1200.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Staff Partido,6000.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Ambulancia,4800.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Snack Vestidor,3000.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Servicio de Palcos,1000.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Pintura Campo,1078.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Hielo,1152.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Staff de Limpieza,1500.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Taquiilleras,1200.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Marcador,750.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Permiso COFEPRIS,1014.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Seguridad Privada,7830.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Seguridad Publica,5999.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Sonido,17400.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Hotel One Arbitros,8075.97,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Pago Cerverza,3640.00,,General,Liga
2022-01-18,2022,Enero,Dorados,Gastos,Refesco,1578.00,,General,Liga
2022-01-30,2022,Enero,Atlante,Gastos,Snack Vestidor,3000.00,,General,Liga
2022-01-30,2022,Enero,Atlante,Gastos,Staff,6000.00,,General,Liga
2022-01-30,2022,Enero,Atlante,Gastos,Taquiilleras,1500.00,,General,Liga
2022-01-30,2022,Enero,Atlante,Gastos,Pago Mission,1600.00,,General,Liga
2022-01-30,2022,Enero,Atlante,Gastos,Staff de Limpieza,2500.00,,General,Liga
2022-01-30,2022,Enero,Atlante,Gastos,Pago Cerveza,13780.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Meseros,1000.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Snack Vestidor,3000.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Staff Partido,6000.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Sanitizacion,2000.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Ambulancia,4800.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Ayudante Staff,900.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Servicio Meseros,1002.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Taquiilleras,1500.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Hielo,988.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Staff de Limpieza,2000.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Marcador,750.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Refresco,2712.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Gasolina,500.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Snack Arbitros,1000.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Seguridad Privada,13050.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Seguridad Publica,5999.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Sonido,17400.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Hotel One Arbitros,8973.30,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Pago Cerveza,2340.00,,General,Liga
2022-02-08,2022,Febrero,Tepatitlan,Gastos,Pago Mission,1300.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Meseros,1500.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Staff Partido,4750.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Sanitizacion,1000.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Ambulancia,4800.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Servicio Meseros,972.50,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Taquiilleras,1500.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Hielo,1596.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Staff de Limpieza,2500.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Marcador,750.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Apoyo Taxis,300.00,,General,Liga
2022-02-23,2022,Febrero,Raya2,Gastos,Inflar Baolnes,50.00,,General,Liga
