Fecha,Año,Mes,Partido,Tipo Venta,Boletos Vendidos,Ingreso
11-01-2022,2022,Enero,Celaya,Taquilla,90,"9,150.00"
18-01-2022,2022,Enero,Dorados,Taquilla,159,"19,240.00"
18-01-2022,2022,Enero,Dorados,Venta Web,,"8,550.00"
08-02-2022,2022,Febrero,Tepatitlan,Taquilla,85,"11,340.00"
08-02-2022,2022,Febrero,Tepatitlan,Venta Web,,"6,480.00"
23-02-2022,2022,Febrero,Raya2,Taquilla,159,"23,050.00"
23-02-2022,2022,Febrero,Raya2,Venta Web,,"7,940.00"
15-03-2022,2022,Marzo,Tapatio,Taquilla,334,"30,940.00"
15-03-2022,2022,Marzo,Tapatio,Venta Web,54,"6,460.00"
25-03-2022,2022,Marzo,Pumas Tabasco,Taquilla,314,"21,770.00"
25-03-2022,2022,Marzo,Pumas Tabasco,Venta Web,0,0.00
06-04-2022,2022,Abril,Tlaxcala,Taquilla,271,"26,060.00"
06-04-2022,2022,Abril,Tlaxcala,Venta Web,67,"6,769.00"
21-04-2022,2022,Abril,Tepatitlan,Taquilla,664,"41,590.00"
21-04-2022,2022,Abril,Tepatitlan,Venta Web,150,"15,550.00"
29-04-2022,2022,Abril,Celaya,Taquilla,1262,"75,952.00"
29-04-2022,2022,Abril,Celaya,Venta Web,390,"39,820.00"
13-06-2022,2022,Junio,America,Taquilla,5264,"1,118,209.00"
13-06-2022,2022,Junio,America,Venta Web,,"1,105,000.00"
13-06-2022,2022,Junio,America,Palco,,"15,000.00"
13-06-2022,2022,Junio,America,Abonados,,"10,800.00"
05-07-2022,2022,Julio,Raya2,Taquilla,,"13,060.00"
05-07-2022,2022,Julio,Raya2,Taquilla Partido,,"25,817.50"
05-07-2022,2022,Julio,Raya2,Preventa Taquilla,,"7,143.00"
19-07-2022,2022,Julio,Tlaxcala,Taquilla,,"8,800.00"
19-07-2022,2022,Julio,Tlaxcala,Taquilla Partido,,"24,627.50"
19-07-2022,2022,Julio,Tlaxcala,Preventa Taquilla,,"4,355.00"
02-08-2022,2022,Agosto,La Paz,Taquilla,,"8,790.00"
02-08-2022,2022,Agosto,La Paz,Taquilla Partido,,"24,070.00"
02-08-2022,2022,Agosto,La Paz,Preventa Taquilla,,"1,350.00"
16-08-2022,2022,Agosto,Alebrijes,Taquilla,,"23,004.81"
16-08-2022,2022,Agosto,Alebrijes,Taquilla Partido,,"20,715.00"
16-08-2022,2022,Agosto,Alebrijes,Preventa Taquilla,,"2,040.00"
30-08-2022,2022,Agosto,Venados,Taquilla,,"8,175.00"
30-08-2022,2022,Agosto,Venados,Taquilla Partido,,"22,295.00"
30-08-2022,2022,Agosto,Venados,Preventa Taquilla,,"1,480.00"
13-09-2022,2022,Septiembre,Celaya,Taquilla,,"4,340.00"
13-09-2022,2022,Septiembre,Celaya,Taquilla Partido,,"13,730.00"
13-09-2022,2022,Septiembre,Celaya,Preventa Taquilla,,750.00
25-09-2022,2022,Septiembre,Dorados,Taquilla,,"4,545.00"
25-09-2022,2022,Septiembre,Dorados,Taquilla Partido,,"7,410.00"
25-09-2022,2022,Septiembre,Dorados,Preventa Taquilla,,75.00
28-09-2022,2022,Septiembre,Durango,Taquilla,,"2,050.00"
28-09-2022,2022,Septiembre,Durango,Taquilla Partido,,"5,215.00"
11-10-2022,2022,Octubre,Tepatitlan,Taquilla,,"3,645.00"
