Fecha,Año,Mes,Partido,Tipo Venta,Boletos Vendidos,Ingreso
2022-01-11,2022,Enero,Celaya,Taquilla,90,9150.00
2022-01-18,2022,Enero,Dorados,Taquilla,159,19240.00
2022-01-18,2022,Enero,Dorados,Venta Web,,8550.00
2022-02-08,2022,Febrero,Tepatitlan,Taquilla,85,11340.00
2022-02-08,2022,Febrero,Tepatitlan,Venta Web,,6480.00
2022-02-23,2022,Febrero,Raya2,Taquilla,159,23050.00
2022-02-23,2022,Febrero,Raya2,Venta Web,,7940.00
2022-03-15,2022,Marzo,Tapatio,Taquilla,334,30940.00
2022-03-15,2022,Marzo,Tapatio,Venta Web,54,6460.00
2022-03-25,2022,Marzo,Pumas Tabasco,Taquilla,314,21770.00
2022-03-25,2022,Marzo,Pumas Tabasco,Venta Web,0,0.00
2022-04-06,2022,Abril,Tlaxcala,Taquilla,271,26060.00
2022-04-06,2022,Abril,Tlaxcala,Venta Web,67,6769.00
2022-04-21,2022,Abril,Tepatitlan,Taquilla,664,41590.00
2022-04-21,2022,Abril,Tepatitlan,Venta Web,150,15550.00
2022-04-29,2022,Abril,Celaya,Taquilla,1262,75952.00
2022-04-29,2022,Abril,Celaya,Venta Web,390,39820.00
2022-06-13,2022,Junio,America,Taquilla,5264,1118209.00
2022-06-13,2022,Junio,America,Venta Web,,1105000.00
2022-06-13,2022,Junio,America,Palco,,15000.00
2022-06-13,2022,Junio,America,Abonados,,10800.00
2022-07-05,2022,Julio,Raya2,Taquilla,,13060.00
2022-07-05,2022,Julio,Raya2,Taquilla Partido,,25817.50
2022-07-05,2022,Julio,Raya2,Preventa Taquilla,,7143.00
2022-07-19,2022,Julio,Tlaxcala,Taquilla,,8800.00
2022-07-19,2022,Julio,Tlaxcala,Taquilla Partido,,24627.50
2022-07-19,2022,Julio,Tlaxcala,Preventa Taquilla,,4355.00
2022-08-02,2022,Agosto,La Paz,Taquilla,,8790.00
2022-08-02,2022,Agosto,La Paz,Taquilla Partido,,24070.00
2022-08-02,2022,Agosto,La Paz,Preventa Taquilla,,1350.00
