Fecha,Año,Mes,Partido,Categoria,Subcategoria,Ingreso,Cantidad,Fuente,Tipo
11-01-2022,2022,Enero,Celaya,Ventas,Refresco,"1,530.00",90,General,Liga
11-01-2022,2022,Enero,Celaya,Ventas,Cerveza,"6,060.00",336,General,Liga
11-01-2022,2022,Enero,Celaya,Ventas,Snack,"1,400.00",7,General,Liga
11-01-2022,2022,Enero,Celaya,Ventas,Tienda,"2,800.00",10,General,Liga
18-01-2022,2022,Enero,Dorados,Ventas,Refresco,"1,819.00",107,General,Liga
18-01-2022,2022,Enero,Dorados,Ventas,Cerveza,"13,050.00",522,General,Liga
18-01-2022,2022,Enero,Dorados,Ventas,Snack,"2,000.00",10,General,Liga
18-01-2022,2022,Enero,Dorados,Ventas,Tienda,"2,750.00",5,General,Liga
30-01-2022,2022,Enero,Atlante,Ventas,Cerveza,"50,625.00",2060,General,Liga
30-01-2022,2022,Enero,Atlante,Ventas,Refresco,"5,015.00",295,General,Liga
30-01-2022,2022,Enero,Atlante,Ventas,Mission,"2,352.00",196,General,Liga
30-01-2022,2022,Enero,Atlante,Ventas,Snack,"2,400.00",12,General,Liga
30-01-2022,2022,Enero,Atlante,Ventas,Tienda,"5,770.00",27,General,Liga
08-02-2022,2022,Febrero,Tepattitlan,Ventas,Cerveza,"11,340.00",319,General,Liga
08-02-2022,2022,Febrero,Tepattitlan,Ventas,Refresco,"7,775.00",75,General,Liga
08-02-2022,2022,Febrero,Tepattitlan,Ventas,Mission,"1,275.00",112,General,Liga
08-02-2022,2022,Febrero,Tepattitlan,Ventas,Snack,"2,000.00",10,General,Liga
08-02-2022,2022,Febrero,Tepattitlan,Ventas,Tienda,"17,664.48",,General,Liga
23-02-2022,2022,Febrero,Raya2,Ventas,Cerveza,"21,520.00",879,General,Liga
23-02-2022,2022,Febrero,Raya2,Ventas,Refresco,"3,520.00",194,General,Liga
23-02-2022,2022,Febrero,Raya2,Ventas,Mission,"2,460.00",205,General,Liga
23-02-2022,2022,Febrero,Raya2,Ventas,Snack,"2,600.00",13,General,Liga
15-03-2022,2022,Marzo,Tapatio,Ventas,Cerveza,"26,000.00",1040,General,Liga
15-03-2022,2022,Marzo,Tapatio,Ventas,Refresco,"4,165.00",245,General,Liga
15-03-2022,2022,Marzo,Tapatio,Ventas,Mission,936.00,78,General,Liga
15-03-2022,2022,Marzo,Tapatio,Ventas,Snack,"1,800.00",9,General,Liga
25-03-2022,2022,Marzo,Tabasco,Ventas,Cerveza,"34,200.00",1376,General,Liga
25-03-2022,2022,Marzo,Tabasco,Ventas,Refresco,"3,604.00",212,General,Liga
25-03-2022,2022,Marzo,Tabasco,Ventas,Mission,"2,160.00",180,General,Liga
25-03-2022,2022,Marzo,Tabasco,Ventas,Snack,"2,200.00",11,General,Liga
25-03-2022,2022,Marzo,Tabasco,Ventas,Tienda,"36,091.17",,General,Liga
06-04-2022,2022,Abril,Tlaxcala,Ventas,Cerveza,"22,125.00",893,General,Liga
06-04-2022,2022,Abril,Tlaxcala,Ventas,Refresco,"3,400.00",200,General,Liga
06-04-2022,2022,Abril,Tlaxcala,Ventas,Mission,"2,304.00",192,General,Liga
06-04-2022,2022,Abril,Tlaxcala,Ventas,Snack,"2,400.00",12,General,Liga
21-04-2022,2022,Abril,Tepattitlan,Ventas,Cerveza,"54,400.00",2176,General,Liga
21-04-2022,2022,Abril,Tepattitlan,Ventas,Refresco,"7,514.00",442,General,Liga
21-04-2022,2022,Abril,Tepattitlan,Ventas,Mission,"1,572.00",131,General,Liga
21-04-2022,2022,Abril,Tepattitlan,Ventas,Snack,"2,600.00",12,General,Liga
29-04-2022,2022,Abril,Celaya,Ventas,Cerveza,"95,500.00",3820,General,Liga
29-04-2022,2022,Abril,Celaya,Ventas,Refresco,"3,820.00",552,General,Liga
29-04-2022,2022,Abril,Celaya,Ventas,Mission,552.00,29,General,Liga
29-04-2022,2022,Abril,Celaya,Ventas,Snack,"7,200.00",24,General,Liga
29-04-2022,2022,Abril,Celaya,Ventas,Tienda,"64,004.38", ,General,Liga
13-06-2022,2022,Junio,America,Ventas,Cerveza,"286,925.00",11477,General,Amistoso
13-06-2022,2022,Junio,America,Ventas,Refresco,"14,688.00",864,General,Amistoso
13-06-2022,2022,Junio,America,Ventas,Palcos,"15,000.00",3,General,Amistoso
