Fecha,Año,Mes,Partido,Categoria,Subcategoria,Ingreso,Cantidad,Fuente,Tipo
2022-01-11,2022,Enero,Celaya,Ventas,Refresco,1530.00,90,General,Liga
2022-01-11,2022,Enero,Celaya,Ventas,Cerveza,6060.00,336,General,Liga
2022-01-11,2022,Enero,Celaya,Ventas,Snack,1400.00,7,General,Liga
2022-01-11,2022,Enero,Celaya,Ventas,Tienda,2800.00,10,General,Liga
2022-01-18,2022,Enero,Dorados,Ventas,Refresco,1819.00,107,General,Liga
2022-01-18,2022,Enero,Dorados,Ventas,Cerveza,13050.00,522,General,Liga
2022-01-18,2022,Enero,Dorados,Ventas,Snack,2000.00,10,General,Liga
2022-01-18,2022,Enero,Dorados,Ventas,Tienda,2750.00,5,General,Liga
2022-01-30,2022,Enero,Atlante,Ventas,Cerveza,50625.00,2060,General,Liga
2022-01-30,2022,Enero,Atlante,Ventas,Refresco,5015.00,295,General,Liga
2022-01-30,2022,Enero,Atlante,Ventas,Mission,2352.00,196,General,Liga
2022-01-30,2022,Enero,Atlante,Ventas,Snack,2400.00,12,General,Liga
2022-01-30,2022,Enero,Atlante,Ventas,Tienda,5770.00,27,General,Liga
2022-02-08,2022,Febrero,Tepattitlan,Ventas,Cerveza,11340.00,319,General,Liga
2022-02-08,2022,Febrero,Tepattitlan,Ventas,Refresco,7775.00,75,General,Liga
2022-02-08,2022,Febrero,Tepattitlan,Ventas,Mission,1275.00,112,General,Liga
2022-02-08,2022,Febrero,Tepattitlan,Ventas,Snack,2000.00,10,General,Liga
2022-02-08,2022,Febrero,Tepattitlan,Ventas,Tienda,17664.48,,General,Liga
2022-02-23,2022,Febrero,Raya2,Ventas,Cerveza,21520.00,879,General,Liga
2022-02-23,2022,Febrero,Raya2,Ventas,Refresco,3520.00,194,General,Liga
2022-02-23,2022,Febrero,Raya2,Ventas,Mission,2460.00,205,General,Liga
2022-02-23,2022,Febrero,Raya2,Ventas,Snack,2600.00,13,General,Liga
2022-03-15,2022,Marzo,Tapatio,Ventas,Cerveza,26000.00,1040,General,Liga
2022-03-15,2022,Marzo,Tapatio,Ventas,Refresco,4165.00,245,General,Liga
2022-03-15,2022,Marzo,Tapatio,Ventas,Mission,936.00,78,General,Liga
2022-03-15,2022,Marzo,Tapatio,Ventas,Snack,1800.00,9,General,Liga
